cve_id,package_guess,cwe_id,cvss_base_score,cvss_exploitability,vuln_count_12m,days_since_patch,patch_lag_days,has_exploit,dependency_depth,maintainer_activity,severity_label
CVE-2018-2641,the,NVD-CWE-noinfo,6.1,1.6,100.0,0.0,0.0,0,0.0,0.0,MEDIUM
CVE-2018-2657,the,NVD-CWE-noinfo,5.3,3.9,101.0,0.0,0.0,0,0.0,0.0,MEDIUM
CVE-2018-2663,the,NVD-CWE-noinfo,4.3,2.8,102.0,0.0,0.0,0,0.0,0.0,MEDIUM
CVE-2018-2675,the,NVD-CWE-noinfo,3.7,2.2,103.0,0.0,0.0,0,0.0,0.0,LOW
CVE-2018-2677,the,NVD-CWE-noinfo,4.3,2.8,104.0,0.0,0.0,0,0.0,0.0,MEDIUM
CVE-2018-2678,the,NVD-CWE-noinfo,4.3,2.8,105.0,0.0,0.0,0,0.0,0.0,MEDIUM
CVE-2018-2680,the,NVD-CWE-noinfo,8.3,1.6,106.0,0.0,0.0,0,0.0,0.0,HIGH
CVE-2016-6814,application,CWE-502,9.8,3.9,1.0,396.0,396.0,0,0.0,0.0,CRITICAL
CVE-2017-16863,gadget,CWE-79,6.1,2.8,1.0,,,0,,,MEDIUM
CVE-2017-12098,exploitable,CWE-79,6.1,2.8,8.0,,,1,,,MEDIUM
CVE-2017-12097,exploitable,CWE-79,6.1,2.8,9.0,,,1,,,MEDIUM
CVE-2017-15092,scripting,CWE-79,6.1,2.8,21.0,,,0,,,MEDIUM
CVE-2017-15703,authenticated,CWE-502,5.0,1.3,1.0,,,0,,,MEDIUM
CVE-2017-1000386,plugin,CWE-79,5.4,2.3,3.0,,,0,,,MEDIUM
CVE-2017-1000404,version,CWE-79,6.1,2.8,12.0,0.0,0.0,0,0.0,0.0,MEDIUM
CVE-2017-14522,the,CWE-79,6.1,2.8,107.0,0.0,0.0,1,0.0,0.0,MEDIUM
CVE-2017-1506,and,CWE-79,6.1,2.8,144.0,,,0,,,MEDIUM
CVE-2017-1532,and,CWE-79,5.4,2.3,145.0,,,0,,,MEDIUM
